trimestre,CVEMET,zona_metro,acteco
2012-06-01,070,Culiacán,94505.1546674102
2012-06-01,071,Mazatlán,65759.4186941601
2012-06-01,072,Cd. Obregón,50128.9967859256
2012-06-01,073,Hermosillo,127603.036077483
2012-06-01,074,Cárdenas,52189.6177771904
2012-06-01,075,Cd. Victoria,46498.8659671751
2012-06-01,076,Chetumal,20094.3317721218
2012-06-01,077,Chilpancingo,20961.5831533972
2012-06-01,078,Moroleón,8634.10315314412
2012-09-01,001,Aguascalientes,148515.726438011
2012-09-01,002,Tijuana,194026.421709083
2012-09-01,003,Mexicali,151661.729578851
2012-09-01,004,La Laguna,258130.820235492
2012-09-01,005,Saltillo,123423.640301426
2012-09-01,006,Monclova,62595.4491540249
2012-09-01,007,Piedras Negras,40771.2020258829
2012-09-01,008,Colima,45372.5992222088
2012-09-01,009,Tecomán,10101.8603525876
2012-09-01,010,Tuxtla,98707.0839402797
2012-09-01,011,Juárez,228068.633476052
2012-09-01,012,Chihuahua,84729.1325882471
2012-09-01,013,CDMX,3507870.94901859
2012-09-01,014,León,189062.311111658
2012-09-01,015,San Francisco,19763.1791535186
2012-09-01,016,Acapulco,87771.950141721
2012-09-01,017,Pachuca,66456.6617928987
2012-09-01,018,Tulancingo,21988.6420846041
2012-09-01,019,Tula,42588.3928214861
2012-09-01,020,Guadalajara,663421.82132573
2012-09-01,021,Puerto Vallarta,55024.6032009864
2012-09-01,022,Ocotlán,12266.7712077344
2012-09-01,023,Toluca,169178.526497228
2012-09-01,024,Morelia,100352.44292793
2012-09-01,025,Zamora,21233.3186633502
2012-09-01,026,Pénjamo,25299.1087230177
2012-09-01,027,Cuernavaca,89625.1341675631
2012-09-01,028,Cuautla,49633.7439947083
2012-09-01,029,Tepic,52673.1676671322
2012-09-01,030,Monterrey,924889.974876579
2012-09-01,031,Oaxaca,74959.732294818
2012-09-01,032,Tehuantepec,34320.0268596886
2012-09-01,033,Puebla,315988.971722146
2012-09-01,034,Tehuacán,25457.9166241204
2012-09-01,035,Querétaro,224509.638290491
2012-09-01,036,Cancún,143255.691557886
2012-09-01,037,San Luis,185737.966183663
2012-09-01,038,Cd. Fernández,8784.03810239031
2012-09-01,039,Guaymas,35987.3093842976
2012-09-01,040,Villahermosa,207953.628431991
2012-09-01,041,Tampico,93866.060886619
2012-09-01,042,Reynosa,135976.614997797
2012-09-01,043,Matamoros,72234.7867000386
